case_id,benchmark_id,reviewer_slot,reviewer_id,construct_alignment,task_representativeness,metric_validity,data_quality,leakage_control,execution_feasibility,provenance_confirmed,independence_attested,decision,notes
case_002,leetcodehardgym,REVIEWER_1,,,,,,,,,,,
case_002,leetcodehardgym,REVIEWER_2,,,,,,,,,,,
case_002,alfworld,REVIEWER_1,,,,,,,,,,,
case_002,alfworld,REVIEWER_2,,,,,,,,,,,
case_002,hotpotqa,REVIEWER_1,,,,,,,,,,,
case_002,hotpotqa,REVIEWER_2,,,,,,,,,,,
case_002,multipl_e,REVIEWER_1,,,,,,,,,,,
case_002,multipl_e,REVIEWER_2,,,,,,,,,,,
case_002,humaneval,REVIEWER_1,,,,,,,,,,,
case_002,humaneval,REVIEWER_2,,,,,,,,,,,
case_002,mbpp,REVIEWER_1,,,,,,,,,,,
case_002,mbpp,REVIEWER_2,,,,,,,,,,,
